Dia_Simulacion,Tipo_Evento,Cantidad,Inventario_Previo,Inventario_Posterior,Venta_Perdida,Param_CAPACIDAD_BODEGA,Param_STOCK_INICIAL,Param_PUNTO_REORDEN,Param_CANTIDAD_REABASTECIMIENTO,Param_TIEMPO_ENTRE_LLEGADAS,Param_TAMANO_PEDIDO,Param_LEAD_TIME_PROVEEDOR,Param_TIEMPO_SIMULACION
0.23,Llegada Demanda (Surtida),166,2000,1834,0,10000,2000,1000,2000,1.5,180,2.0,170
2.04,Llegada Demanda (Surtida),165,1834,1669,0,10000,2000,1000,2000,1.5,180,2.0,170
2.07,Llegada Demanda (Surtida),190,1669,1479,0,10000,2000,1000,2000,1.5,180,2.0,170
3.61,Llegada Demanda (Surtida),208,1479,1271,0,10000,2000,1000,2000,1.5,180,2.0,170
6.43,Llegada Demanda (Surtida),119,1271,1152,0,10000,2000,1000,2000,1.5,180,2.0,170
7.47,Llegada Demanda (Surtida),172,1152,980,0,10000,2000,1000,2000,1.5,180,2.0,170
7.47,Emisión Pedido,2000,980,980,0,10000,2000,1000,2000,1.5,180,2.0,170
9.22,Recepción Material,2000,980,2980,0,10000,2000,1000,2000,1.5,180,2.0,170
9.35,Llegada Demanda (Surtida),113,2980,2867,0,10000,2000,1000,2000,1.5,180,2.0,170
10.56,Llegada Demanda (Surtida),199,2867,2668,0,10000,2000,1000,2000,1.5,180,2.0,170
12.32,Llegada Demanda (Surtida),210,2668,2458,0,10000,2000,1000,2000,1.5,180,2.0,170
16.33,Llegada Demanda (Surtida),168,2458,2290,0,10000,2000,1000,2000,1.5,180,2.0,170
18.4,Llegada Demanda (Surtida),134,2290,2156,0,10000,2000,1000,2000,1.5,180,2.0,170
18.52,Llegada Demanda (Surtida),161,2156,1995,0,10000,2000,1000,2000,1.5,180,2.0,170
18.81,Llegada Demanda (Surtida),161,1995,1834,0,10000,2000,1000,2000,1.5,180,2.0,170
25.94,Llegada Demanda (Surtida),151,1834,1683,0,10000,2000,1000,2000,1.5,180,2.0,170
27.91,Llegada Demanda (Surtida),158,1683,1525,0,10000,2000,1000,2000,1.5,180,2.0,170
30.17,Llegada Demanda (Surtida),198,1525,1327,0,10000,2000,1000,2000,1.5,180,2.0,170
35.96,Llegada Demanda (Surtida),171,1327,1156,0,10000,2000,1000,2000,1.5,180,2.0,170
38.39,Llegada Demanda (Surtida),225,1156,931,0,10000,2000,1000,2000,1.5,180,2.0,170
38.39,Emisión Pedido,2000,931,931,0,10000,2000,1000,2000,1.5,180,2.0,170
40.3,Recepción Material,2000,931,2931,0,10000,2000,1000,2000,1.5,180,2.0,170
42.7,Llegada Demanda (Surtida),146,2931,2785,0,10000,2000,1000,2000,1.5,180,2.0,170
43.33,Llegada Demanda (Surtida),143,2785,2642,0,10000,2000,1000,2000,1.5,180,2.0,170
45.46,Llegada Demanda (Surtida),201,2642,2441,0,10000,2000,1000,2000,1.5,180,2.0,170
46.86,Llegada Demanda (Surtida),149,2441,2292,0,10000,2000,1000,2000,1.5,180,2.0,170
47.44,Llegada Demanda (Surtida),214,2292,2078,0,10000,2000,1000,2000,1.5,180,2.0,170
48.1,Llegada Demanda (Surtida),218,2078,1860,0,10000,2000,1000,2000,1.5,180,2.0,170
50.11,Llegada Demanda (Surtida),170,1860,1690,0,10000,2000,1000,2000,1.5,180,2.0,170
51.22,Llegada Demanda (Surtida),254,1690,1436,0,10000,2000,1000,2000,1.5,180,2.0,170
51.33,Llegada Demanda (Surtida),218,1436,1218,0,10000,2000,1000,2000,1.5,180,2.0,170
51.49,Llegada Demanda (Surtida),174,1218,1044,0,10000,2000,1000,2000,1.5,180,2.0,170
51.53,Llegada Demanda (Surtida),143,1044,901,0,10000,2000,1000,2000,1.5,180,2.0,170
51.53,Emisión Pedido,2000,901,901,0,10000,2000,1000,2000,1.5,180,2.0,170
52.11,Llegada Demanda (Surtida),143,901,758,0,10000,2000,1000,2000,1.5,180,2.0,170
53.06,Llegada Demanda (Surtida),152,758,606,0,10000,2000,1000,2000,1.5,180,2.0,170
53.3,Recepción Material,2000,606,2606,0,10000,2000,1000,2000,1.5,180,2.0,170
53.88,Llegada Demanda (Surtida),216,2606,2390,0,10000,2000,1000,2000,1.5,180,2.0,170
57.35,Llegada Demanda (Surtida),171,2390,2219,0,10000,2000,1000,2000,1.5,180,2.0,170
58.04,Llegada Demanda (Surtida),157,2219,2062,0,10000,2000,1000,2000,1.5,180,2.0,170
59.77,Llegada Demanda (Surtida),185,2062,1877,0,10000,2000,1000,2000,1.5,180,2.0,170
59.86,Llegada Demanda (Surtida),202,1877,1675,0,10000,2000,1000,2000,1.5,180,2.0,170
60.18,Llegada Demanda (Surtida),116,1675,1559,0,10000,2000,1000,2000,1.5,180,2.0,170
63.95,Llegada Demanda (Surtida),190,1559,1369,0,10000,2000,1000,2000,1.5,180,2.0,170
64.65,Llegada Demanda (Surtida),171,1369,1198,0,10000,2000,1000,2000,1.5,180,2.0,170
65.04,Llegada Demanda (Surtida),275,1198,923,0,10000,2000,1000,2000,1.5,180,2.0,170
65.04,Emisión Pedido,2000,923,923,0,10000,2000,1000,2000,1.5,180,2.0,170
66.57,Llegada Demanda (Surtida),157,923,766,0,10000,2000,1000,2000,1.5,180,2.0,170
67.12,Recepción Material,2000,766,2766,0,10000,2000,1000,2000,1.5,180,2.0,170
71.65,Llegada Demanda (Surtida),165,2766,2601,0,10000,2000,1000,2000,1.5,180,2.0,170
71.66,Llegada Demanda (Surtida),152,2601,2449,0,10000,2000,1000,2000,1.5,180,2.0,170
73.66,Llegada Demanda (Surtida),150,2449,2299,0,10000,2000,1000,2000,1.5,180,2.0,170
74.34,Llegada Demanda (Surtida),153,2299,2146,0,10000,2000,1000,2000,1.5,180,2.0,170
74.93,Llegada Demanda (Surtida),190,2146,1956,0,10000,2000,1000,2000,1.5,180,2.0,170
77.48,Llegada Demanda (Surtida),125,1956,1831,0,10000,2000,1000,2000,1.5,180,2.0,170
