Dia_Simulacion,Tipo_Evento,Cantidad,Inventario_Previo,Inventario_Posterior,Venta_Perdida,Param_CAPACIDAD_BODEGA,Param_STOCK_INICIAL,Param_PUNTO_REORDEN,Param_CANTIDAD_REABASTECIMIENTO,Param_TIEMPO_ENTRE_LLEGADAS,Param_TAMANO_PEDIDO,Param_LEAD_TIME_PROVEEDOR,Param_TIEMPO_SIMULACION
1.04,Llegada Demanda (Surtida),158,2000,1842,0,10000,2000,1000,4000,1.7,140,2.0,190
1.39,Llegada Demanda (Surtida),109,1842,1733,0,10000,2000,1000,4000,1.7,140,2.0,190
1.82,Llegada Demanda (Surtida),135,1733,1598,0,10000,2000,1000,4000,1.7,140,2.0,190
3.82,Llegada Demanda (Surtida),90,1598,1508,0,10000,2000,1000,4000,1.7,140,2.0,190
3.83,Llegada Demanda (Surtida),180,1508,1328,0,10000,2000,1000,4000,1.7,140,2.0,190
6.47,Llegada Demanda (Surtida),135,1328,1193,0,10000,2000,1000,4000,1.7,140,2.0,190
11.89,Llegada Demanda (Surtida),70,1193,1123,0,10000,2000,1000,4000,1.7,140,2.0,190
15.24,Llegada Demanda (Surtida),115,1123,1008,0,10000,2000,1000,4000,1.7,140,2.0,190
18.01,Llegada Demanda (Surtida),208,1008,800,0,10000,2000,1000,4000,1.7,140,2.0,190
18.01,Emisión Pedido,4000,800,800,0,10000,2000,1000,4000,1.7,140,2.0,190
19.84,Recepción Material,4000,800,4800,0,10000,2000,1000,4000,1.7,140,2.0,190
20.55,Llegada Demanda (Surtida),99,4800,4701,0,10000,2000,1000,4000,1.7,140,2.0,190
20.69,Llegada Demanda (Surtida),137,4701,4564,0,10000,2000,1000,4000,1.7,140,2.0,190
21.94,Llegada Demanda (Surtida),153,4564,4411,0,10000,2000,1000,4000,1.7,140,2.0,190
24.6,Llegada Demanda (Surtida),114,4411,4297,0,10000,2000,1000,4000,1.7,140,2.0,190
25.98,Llegada Demanda (Surtida),149,4297,4148,0,10000,2000,1000,4000,1.7,140,2.0,190
26.84,Llegada Demanda (Surtida),118,4148,4030,0,10000,2000,1000,4000,1.7,140,2.0,190
29.7,Llegada Demanda (Surtida),36,4030,3994,0,10000,2000,1000,4000,1.7,140,2.0,190
31.14,Llegada Demanda (Surtida),126,3994,3868,0,10000,2000,1000,4000,1.7,140,2.0,190
31.59,Llegada Demanda (Surtida),113,3868,3755,0,10000,2000,1000,4000,1.7,140,2.0,190
32.07,Llegada Demanda (Surtida),150,3755,3605,0,10000,2000,1000,4000,1.7,140,2.0,190
33.25,Llegada Demanda (Surtida),122,3605,3483,0,10000,2000,1000,4000,1.7,140,2.0,190
37.99,Llegada Demanda (Surtida),180,3483,3303,0,10000,2000,1000,4000,1.7,140,2.0,190
38.42,Llegada Demanda (Surtida),161,3303,3142,0,10000,2000,1000,4000,1.7,140,2.0,190
38.47,Llegada Demanda (Surtida),132,3142,3010,0,10000,2000,1000,4000,1.7,140,2.0,190
40.22,Llegada Demanda (Surtida),139,3010,2871,0,10000,2000,1000,4000,1.7,140,2.0,190
40.82,Llegada Demanda (Surtida),193,2871,2678,0,10000,2000,1000,4000,1.7,140,2.0,190
45.28,Llegada Demanda (Surtida),145,2678,2533,0,10000,2000,1000,4000,1.7,140,2.0,190
46.29,Llegada Demanda (Surtida),143,2533,2390,0,10000,2000,1000,4000,1.7,140,2.0,190
48.62,Llegada Demanda (Surtida),130,2390,2260,0,10000,2000,1000,4000,1.7,140,2.0,190
50.47,Llegada Demanda (Surtida),184,2260,2076,0,10000,2000,1000,4000,1.7,140,2.0,190
51.84,Llegada Demanda (Surtida),94,2076,1982,0,10000,2000,1000,4000,1.7,140,2.0,190
52.96,Llegada Demanda (Surtida),136,1982,1846,0,10000,2000,1000,4000,1.7,140,2.0,190
53.09,Llegada Demanda (Surtida),143,1846,1703,0,10000,2000,1000,4000,1.7,140,2.0,190
54.28,Llegada Demanda (Surtida),152,1703,1551,0,10000,2000,1000,4000,1.7,140,2.0,190
55.06,Llegada Demanda (Surtida),150,1551,1401,0,10000,2000,1000,4000,1.7,140,2.0,190
56.52,Llegada Demanda (Surtida),199,1401,1202,0,10000,2000,1000,4000,1.7,140,2.0,190
57.68,Llegada Demanda (Surtida),147,1202,1055,0,10000,2000,1000,4000,1.7,140,2.0,190
59.9,Llegada Demanda (Surtida),133,1055,922,0,10000,2000,1000,4000,1.7,140,2.0,190
59.9,Emisión Pedido,4000,922,922,0,10000,2000,1000,4000,1.7,140,2.0,190
61.68,Recepción Material,4000,922,4922,0,10000,2000,1000,4000,1.7,140,2.0,190
62.35,Llegada Demanda (Surtida),141,4922,4781,0,10000,2000,1000,4000,1.7,140,2.0,190
62.72,Llegada Demanda (Surtida),119,4781,4662,0,10000,2000,1000,4000,1.7,140,2.0,190
63.36,Llegada Demanda (Surtida),124,4662,4538,0,10000,2000,1000,4000,1.7,140,2.0,190
63.89,Llegada Demanda (Surtida),146,4538,4392,0,10000,2000,1000,4000,1.7,140,2.0,190
66.6,Llegada Demanda (Surtida),156,4392,4236,0,10000,2000,1000,4000,1.7,140,2.0,190
67.43,Llegada Demanda (Surtida),198,4236,4038,0,10000,2000,1000,4000,1.7,140,2.0,190
69.47,Llegada Demanda (Surtida),159,4038,3879,0,10000,2000,1000,4000,1.7,140,2.0,190
71.2,Llegada Demanda (Surtida),172,3879,3707,0,10000,2000,1000,4000,1.7,140,2.0,190
71.76,Llegada Demanda (Surtida),166,3707,3541,0,10000,2000,1000,4000,1.7,140,2.0,190
74.79,Llegada Demanda (Surtida),153,3541,3388,0,10000,2000,1000,4000,1.7,140,2.0,190
75.09,Llegada Demanda (Surtida),103,3388,3285,0,10000,2000,1000,4000,1.7,140,2.0,190
75.5,Llegada Demanda (Surtida),109,3285,3176,0,10000,2000,1000,4000,1.7,140,2.0,190
78.02,Llegada Demanda (Surtida),163,3176,3013,0,10000,2000,1000,4000,1.7,140,2.0,190
79.42,Llegada Demanda (Surtida),159,3013,2854,0,10000,2000,1000,4000,1.7,140,2.0,190
81.84,Llegada Demanda (Surtida),179,2854,2675,0,10000,2000,1000,4000,1.7,140,2.0,190
84.27,Llegada Demanda (Surtida),142,2675,2533,0,10000,2000,1000,4000,1.7,140,2.0,190
86.11,Llegada Demanda (Surtida),168,2533,2365,0,10000,2000,1000,4000,1.7,140,2.0,190
91.18,Llegada Demanda (Surtida),147,2365,2218,0,10000,2000,1000,4000,1.7,140,2.0,190
92.7,Llegada Demanda (Surtida),162,2218,2056,0,10000,2000,1000,4000,1.7,140,2.0,190
93.34,Llegada Demanda (Surtida),166,2056,1890,0,10000,2000,1000,4000,1.7,140,2.0,190
96.74,Llegada Demanda (Surtida),136,1890,1754,0,10000,2000,1000,4000,1.7,140,2.0,190
98.22,Llegada Demanda (Surtida),123,1754,1631,0,10000,2000,1000,4000,1.7,140,2.0,190
98.27,Llegada Demanda (Surtida),175,1631,1456,0,10000,2000,1000,4000,1.7,140,2.0,190
98.34,Llegada Demanda (Surtida),163,1456,1293,0,10000,2000,1000,4000,1.7,140,2.0,190
98.51,Llegada Demanda (Surtida),149,1293,1144,0,10000,2000,1000,4000,1.7,140,2.0,190
101.46,Llegada Demanda (Surtida),153,1144,991,0,10000,2000,1000,4000,1.7,140,2.0,190
101.46,Emisión Pedido,4000,991,991,0,10000,2000,1000,4000,1.7,140,2.0,190
103.58,Recepción Material,4000,991,4991,0,10000,2000,1000,4000,1.7,140,2.0,190
103.73,Llegada Demanda (Surtida),171,4991,4820,0,10000,2000,1000,4000,1.7,140,2.0,190
104.5,Llegada Demanda (Surtida),121,4820,4699,0,10000,2000,1000,4000,1.7,140,2.0,190
106.04,Llegada Demanda (Surtida),156,4699,4543,0,10000,2000,1000,4000,1.7,140,2.0,190
106.73,Llegada Demanda (Surtida),141,4543,4402,0,10000,2000,1000,4000,1.7,140,2.0,190
107.14,Llegada Demanda (Surtida),161,4402,4241,0,10000,2000,1000,4000,1.7,140,2.0,190
109.65,Llegada Demanda (Surtida),141,4241,4100,0,10000,2000,1000,4000,1.7,140,2.0,190
109.67,Llegada Demanda (Surtida),174,4100,3926,0,10000,2000,1000,4000,1.7,140,2.0,190
111.13,Llegada Demanda (Surtida),102,3926,3824,0,10000,2000,1000,4000,1.7,140,2.0,190
116.83,Llegada Demanda (Surtida),134,3824,3690,0,10000,2000,1000,4000,1.7,140,2.0,190
117.66,Llegada Demanda (Surtida),104,3690,3586,0,10000,2000,1000,4000,1.7,140,2.0,190
119.38,Llegada Demanda (Surtida),156,3586,3430,0,10000,2000,1000,4000,1.7,140,2.0,190
121.79,Llegada Demanda (Surtida),91,3430,3339,0,10000,2000,1000,4000,1.7,140,2.0,190
126.23,Llegada Demanda (Surtida),176,3339,3163,0,10000,2000,1000,4000,1.7,140,2.0,190
126.42,Llegada Demanda (Surtida),151,3163,3012,0,10000,2000,1000,4000,1.7,140,2.0,190
127.15,Llegada Demanda (Surtida),132,3012,2880,0,10000,2000,1000,4000,1.7,140,2.0,190
132.33,Llegada Demanda (Surtida),127,2880,2753,0,10000,2000,1000,4000,1.7,140,2.0,190
138.62,Llegada Demanda (Surtida),169,2753,2584,0,10000,2000,1000,4000,1.7,140,2.0,190
139.62,Llegada Demanda (Surtida),131,2584,2453,0,10000,2000,1000,4000,1.7,140,2.0,190
139.84,Llegada Demanda (Surtida),133,2453,2320,0,10000,2000,1000,4000,1.7,140,2.0,190
141.05,Llegada Demanda (Surtida),130,2320,2190,0,10000,2000,1000,4000,1.7,140,2.0,190
141.87,Llegada Demanda (Surtida),167,2190,2023,0,10000,2000,1000,4000,1.7,140,2.0,190
143.25,Llegada Demanda (Surtida),111,2023,1912,0,10000,2000,1000,4000,1.7,140,2.0,190
143.39,Llegada Demanda (Surtida),167,1912,1745,0,10000,2000,1000,4000,1.7,140,2.0,190
146.95,Llegada Demanda (Surtida),103,1745,1642,0,10000,2000,1000,4000,1.7,140,2.0,190
149.45,Llegada Demanda (Surtida),141,1642,1501,0,10000,2000,1000,4000,1.7,140,2.0,190
149.57,Llegada Demanda (Surtida),165,1501,1336,0,10000,2000,1000,4000,1.7,140,2.0,190
150.49,Llegada Demanda (Surtida),115,1336,1221,0,10000,2000,1000,4000,1.7,140,2.0,190
157.38,Llegada Demanda (Surtida),128,1221,1093,0,10000,2000,1000,4000,1.7,140,2.0,190
157.69,Llegada Demanda (Surtida),147,1093,946,0,10000,2000,1000,4000,1.7,140,2.0,190
157.69,Emisión Pedido,4000,946,946,0,10000,2000,1000,4000,1.7,140,2.0,190
158.07,Llegada Demanda (Surtida),150,946,796,0,10000,2000,1000,4000,1.7,140,2.0,190
158.33,Llegada Demanda (Surtida),147,796,649,0,10000,2000,1000,4000,1.7,140,2.0,190
159.25,Recepción Material,4000,649,4649,0,10000,2000,1000,4000,1.7,140,2.0,190
159.5,Llegada Demanda (Surtida),150,4649,4499,0,10000,2000,1000,4000,1.7,140,2.0,190
160.85,Llegada Demanda (Surtida),140,4499,4359,0,10000,2000,1000,4000,1.7,140,2.0,190
161.84,Llegada Demanda (Surtida),113,4359,4246,0,10000,2000,1000,4000,1.7,140,2.0,190
164.32,Llegada Demanda (Surtida),129,4246,4117,0,10000,2000,1000,4000,1.7,140,2.0,190
166.12,Llegada Demanda (Surtida),96,4117,4021,0,10000,2000,1000,4000,1.7,140,2.0,190
166.43,Llegada Demanda (Surtida),178,4021,3843,0,10000,2000,1000,4000,1.7,140,2.0,190
169.21,Llegada Demanda (Surtida),154,3843,3689,0,10000,2000,1000,4000,1.7,140,2.0,190
169.47,Llegada Demanda (Surtida),119,3689,3570,0,10000,2000,1000,4000,1.7,140,2.0,190
174.24,Llegada Demanda (Surtida),130,3570,3440,0,10000,2000,1000,4000,1.7,140,2.0,190
174.97,Llegada Demanda (Surtida),144,3440,3296,0,10000,2000,1000,4000,1.7,140,2.0,190
175.9,Llegada Demanda (Surtida),145,3296,3151,0,10000,2000,1000,4000,1.7,140,2.0,190
175.95,Llegada Demanda (Surtida),145,3151,3006,0,10000,2000,1000,4000,1.7,140,2.0,190
176.5,Llegada Demanda (Surtida),187,3006,2819,0,10000,2000,1000,4000,1.7,140,2.0,190
179.18,Llegada Demanda (Surtida),159,2819,2660,0,10000,2000,1000,4000,1.7,140,2.0,190
179.66,Llegada Demanda (Surtida),64,2660,2596,0,10000,2000,1000,4000,1.7,140,2.0,190
182.09,Llegada Demanda (Surtida),188,2596,2408,0,10000,2000,1000,4000,1.7,140,2.0,190
182.79,Llegada Demanda (Surtida),104,2408,2304,0,10000,2000,1000,4000,1.7,140,2.0,190
183.19,Llegada Demanda (Surtida),174,2304,2130,0,10000,2000,1000,4000,1.7,140,2.0,190
183.71,Llegada Demanda (Surtida),124,2130,2006,0,10000,2000,1000,4000,1.7,140,2.0,190
183.92,Llegada Demanda (Surtida),134,2006,1872,0,10000,2000,1000,4000,1.7,140,2.0,190
185.29,Llegada Demanda (Surtida),130,1872,1742,0,10000,2000,1000,4000,1.7,140,2.0,190
186.24,Llegada Demanda (Surtida),172,1742,1570,0,10000,2000,1000,4000,1.7,140,2.0,190
186.8,Llegada Demanda (Surtida),177,1570,1393,0,10000,2000,1000,4000,1.7,140,2.0,190
187.05,Llegada Demanda (Surtida),141,1393,1252,0,10000,2000,1000,4000,1.7,140,2.0,190
187.61,Llegada Demanda (Surtida),126,1252,1126,0,10000,2000,1000,4000,1.7,140,2.0,190
187.67,Llegada Demanda (Surtida),127,1126,999,0,10000,2000,1000,4000,1.7,140,2.0,190
187.67,Emisión Pedido,4000,999,999,0,10000,2000,1000,4000,1.7,140,2.0,190
