ID_Simulacion,Dia_Simulacion,Tipo_Evento,Cantidad,Inventario_Previo,Inventario_Posterior,Venta_Perdida,Param_CAPACIDAD_BODEGA,Param_STOCK_INICIAL,Param_PUNTO_REORDEN,Param_CANTIDAD_REABASTECIMIENTO,Param_TIEMPO_ENTRE_LLEGADAS,Param_TAMANO_PEDIDO,Param_LEAD_TIME_PROVEEDOR,Param_TIEMPO_SIMULACION
20260515_212724,90.5,Llegada Demanda (Surtida),143,1174,1031,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,90.94,Llegada Demanda (Surtida),99,1031,932,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,90.94,Emisión Pedido,2000,932,932,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,92.99,Recepción Material,2000,932,2932,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,93.57,Llegada Demanda (Surtida),188,2932,2744,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,96.99,Llegada Demanda (Surtida),132,2744,2612,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,99.71,Llegada Demanda (Surtida),118,2612,2494,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,101.59,Llegada Demanda (Surtida),201,2494,2293,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,101.76,Llegada Demanda (Surtida),125,2293,2168,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,102.36,Llegada Demanda (Surtida),165,2168,2003,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,102.49,Llegada Demanda (Surtida),180,2003,1823,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,105.54,Llegada Demanda (Surtida),191,1823,1632,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,106.07,Llegada Demanda (Surtida),196,1632,1436,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,106.52,Llegada Demanda (Surtida),84,1436,1352,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,107.29,Llegada Demanda (Surtida),129,1352,1223,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,108.85,Llegada Demanda (Surtida),174,1223,1049,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,109.69,Llegada Demanda (Surtida),119,1049,930,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,109.69,Emisión Pedido,2000,930,930,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,111.77,Recepción Material,2000,930,2930,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,115.11,Llegada Demanda (Surtida),159,2930,2771,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,116.93,Llegada Demanda (Surtida),117,2771,2654,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,117.29,Llegada Demanda (Surtida),150,2654,2504,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,120.92,Llegada Demanda (Surtida),135,2504,2369,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,121.4,Llegada Demanda (Surtida),138,2369,2231,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,126.3,Llegada Demanda (Surtida),135,2231,2096,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,130.5,Llegada Demanda (Surtida),213,2096,1883,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,133.11,Llegada Demanda (Surtida),193,1883,1690,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,144.85,Llegada Demanda (Surtida),118,1690,1572,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,145.38,Llegada Demanda (Surtida),112,1572,1460,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,146.85,Llegada Demanda (Surtida),113,1460,1347,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,148.99,Llegada Demanda (Surtida),149,1347,1198,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,150.1,Llegada Demanda (Surtida),150,1198,1048,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,153.59,Llegada Demanda (Surtida),178,1048,870,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,153.59,Emisión Pedido,2000,870,870,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,156.32,Recepción Material,2000,870,2870,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,158.45,Llegada Demanda (Surtida),162,2870,2708,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,159.22,Llegada Demanda (Surtida),148,2708,2560,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,164.38,Llegada Demanda (Surtida),196,2560,2364,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,164.67,Llegada Demanda (Surtida),153,2364,2211,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,164.84,Llegada Demanda (Surtida),112,2211,2099,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,171.25,Llegada Demanda (Surtida),159,2099,1940,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,173.72,Llegada Demanda (Surtida),158,1940,1782,0,10000,1600,1000,2000,2.0,150,2.5,210
