Dia_Simulacion,Tipo_Evento,Cantidad,Inventario_Previo,Inventario_Posterior,Venta_Perdida,Param_CAPACIDAD_BODEGA,Param_STOCK_INICIAL,Param_PUNTO_REORDEN,Param_CANTIDAD_REABASTECIMIENTO,Param_TIEMPO_ENTRE_LLEGADAS,Param_TAMANO_PEDIDO,Param_LEAD_TIME_PROVEEDOR,Param_TIEMPO_SIMULACION
0.17,Llegada Demanda (Surtida),184,2000,1816,0,10000,2000,1500,5000,1.5,150,2.0,180
2.33,Llegada Demanda (Surtida),118,1816,1698,0,10000,2000,1500,5000,1.5,150,2.0,180
6.09,Llegada Demanda (Surtida),126,1698,1572,0,10000,2000,1500,5000,1.5,150,2.0,180
11.49,Llegada Demanda (Surtida),155,1572,1417,0,10000,2000,1500,5000,1.5,150,2.0,180
11.49,Emisión Pedido,5000,1417,1417,0,10000,2000,1500,5000,1.5,150,2.0,180
12.67,Llegada Demanda (Surtida),133,1417,1284,0,10000,2000,1500,5000,1.5,150,2.0,180
13.55,Llegada Demanda (Surtida),160,1284,1124,0,10000,2000,1500,5000,1.5,150,2.0,180
13.93,Recepción Material,5000,1124,6124,0,10000,2000,1500,5000,1.5,150,2.0,180
17.9,Llegada Demanda (Surtida),117,6124,6007,0,10000,2000,1500,5000,1.5,150,2.0,180
18.9,Llegada Demanda (Surtida),103,6007,5904,0,10000,2000,1500,5000,1.5,150,2.0,180
19.68,Llegada Demanda (Surtida),121,5904,5783,0,10000,2000,1500,5000,1.5,150,2.0,180
22.09,Llegada Demanda (Surtida),116,5783,5667,0,10000,2000,1500,5000,1.5,150,2.0,180
23.38,Llegada Demanda (Surtida),131,5667,5536,0,10000,2000,1500,5000,1.5,150,2.0,180
24.01,Llegada Demanda (Surtida),131,5536,5405,0,10000,2000,1500,5000,1.5,150,2.0,180
25.39,Llegada Demanda (Surtida),113,5405,5292,0,10000,2000,1500,5000,1.5,150,2.0,180
28.05,Llegada Demanda (Surtida),122,5292,5170,0,10000,2000,1500,5000,1.5,150,2.0,180
28.52,Llegada Demanda (Surtida),181,5170,4989,0,10000,2000,1500,5000,1.5,150,2.0,180
29.01,Llegada Demanda (Surtida),212,4989,4777,0,10000,2000,1500,5000,1.5,150,2.0,180
29.27,Llegada Demanda (Surtida),90,4777,4687,0,10000,2000,1500,5000,1.5,150,2.0,180
31.23,Llegada Demanda (Surtida),116,4687,4571,0,10000,2000,1500,5000,1.5,150,2.0,180
31.82,Llegada Demanda (Surtida),180,4571,4391,0,10000,2000,1500,5000,1.5,150,2.0,180
31.88,Llegada Demanda (Surtida),185,4391,4206,0,10000,2000,1500,5000,1.5,150,2.0,180
33.54,Llegada Demanda (Surtida),120,4206,4086,0,10000,2000,1500,5000,1.5,150,2.0,180
33.84,Llegada Demanda (Surtida),133,4086,3953,0,10000,2000,1500,5000,1.5,150,2.0,180
35.66,Llegada Demanda (Surtida),106,3953,3847,0,10000,2000,1500,5000,1.5,150,2.0,180
37.13,Llegada Demanda (Surtida),201,3847,3646,0,10000,2000,1500,5000,1.5,150,2.0,180
38.21,Llegada Demanda (Surtida),144,3646,3502,0,10000,2000,1500,5000,1.5,150,2.0,180
42.24,Llegada Demanda (Surtida),186,3502,3316,0,10000,2000,1500,5000,1.5,150,2.0,180
42.44,Llegada Demanda (Surtida),124,3316,3192,0,10000,2000,1500,5000,1.5,150,2.0,180
44.12,Llegada Demanda (Surtida),175,3192,3017,0,10000,2000,1500,5000,1.5,150,2.0,180
44.2,Llegada Demanda (Surtida),126,3017,2891,0,10000,2000,1500,5000,1.5,150,2.0,180
45.41,Llegada Demanda (Surtida),146,2891,2745,0,10000,2000,1500,5000,1.5,150,2.0,180
45.7,Llegada Demanda (Surtida),135,2745,2610,0,10000,2000,1500,5000,1.5,150,2.0,180
47.33,Llegada Demanda (Surtida),137,2610,2473,0,10000,2000,1500,5000,1.5,150,2.0,180
48.78,Llegada Demanda (Surtida),153,2473,2320,0,10000,2000,1500,5000,1.5,150,2.0,180
49.26,Llegada Demanda (Surtida),166,2320,2154,0,10000,2000,1500,5000,1.5,150,2.0,180
49.31,Llegada Demanda (Surtida),125,2154,2029,0,10000,2000,1500,5000,1.5,150,2.0,180
50.52,Llegada Demanda (Surtida),182,2029,1847,0,10000,2000,1500,5000,1.5,150,2.0,180
50.61,Llegada Demanda (Surtida),135,1847,1712,0,10000,2000,1500,5000,1.5,150,2.0,180
51.1,Llegada Demanda (Surtida),162,1712,1550,0,10000,2000,1500,5000,1.5,150,2.0,180
53.68,Llegada Demanda (Surtida),107,1550,1443,0,10000,2000,1500,5000,1.5,150,2.0,180
53.68,Emisión Pedido,5000,1443,1443,0,10000,2000,1500,5000,1.5,150,2.0,180
53.89,Llegada Demanda (Surtida),166,1443,1277,0,10000,2000,1500,5000,1.5,150,2.0,180
54.76,Llegada Demanda (Surtida),162,1277,1115,0,10000,2000,1500,5000,1.5,150,2.0,180
55.29,Recepción Material,5000,1115,6115,0,10000,2000,1500,5000,1.5,150,2.0,180
56.01,Llegada Demanda (Surtida),139,6115,5976,0,10000,2000,1500,5000,1.5,150,2.0,180
56.39,Llegada Demanda (Surtida),189,5976,5787,0,10000,2000,1500,5000,1.5,150,2.0,180
61.65,Llegada Demanda (Surtida),144,5787,5643,0,10000,2000,1500,5000,1.5,150,2.0,180
62.47,Llegada Demanda (Surtida),191,5643,5452,0,10000,2000,1500,5000,1.5,150,2.0,180
65.17,Llegada Demanda (Surtida),175,5452,5277,0,10000,2000,1500,5000,1.5,150,2.0,180
65.96,Llegada Demanda (Surtida),141,5277,5136,0,10000,2000,1500,5000,1.5,150,2.0,180
66.82,Llegada Demanda (Surtida),148,5136,4988,0,10000,2000,1500,5000,1.5,150,2.0,180
66.97,Llegada Demanda (Surtida),137,4988,4851,0,10000,2000,1500,5000,1.5,150,2.0,180
69.32,Llegada Demanda (Surtida),196,4851,4655,0,10000,2000,1500,5000,1.5,150,2.0,180
71.25,Llegada Demanda (Surtida),148,4655,4507,0,10000,2000,1500,5000,1.5,150,2.0,180
72.35,Llegada Demanda (Surtida),168,4507,4339,0,10000,2000,1500,5000,1.5,150,2.0,180
72.72,Llegada Demanda (Surtida),230,4339,4109,0,10000,2000,1500,5000,1.5,150,2.0,180
72.81,Llegada Demanda (Surtida),163,4109,3946,0,10000,2000,1500,5000,1.5,150,2.0,180
73.55,Llegada Demanda (Surtida),165,3946,3781,0,10000,2000,1500,5000,1.5,150,2.0,180
75.97,Llegada Demanda (Surtida),135,3781,3646,0,10000,2000,1500,5000,1.5,150,2.0,180
76.56,Llegada Demanda (Surtida),139,3646,3507,0,10000,2000,1500,5000,1.5,150,2.0,180
76.97,Llegada Demanda (Surtida),119,3507,3388,0,10000,2000,1500,5000,1.5,150,2.0,180
77.84,Llegada Demanda (Surtida),115,3388,3273,0,10000,2000,1500,5000,1.5,150,2.0,180
82.09,Llegada Demanda (Surtida),76,3273,3197,0,10000,2000,1500,5000,1.5,150,2.0,180
85.42,Llegada Demanda (Surtida),142,3197,3055,0,10000,2000,1500,5000,1.5,150,2.0,180
86.53,Llegada Demanda (Surtida),161,3055,2894,0,10000,2000,1500,5000,1.5,150,2.0,180
86.97,Llegada Demanda (Surtida),146,2894,2748,0,10000,2000,1500,5000,1.5,150,2.0,180
87.3,Llegada Demanda (Surtida),148,2748,2600,0,10000,2000,1500,5000,1.5,150,2.0,180
88.54,Llegada Demanda (Surtida),146,2600,2454,0,10000,2000,1500,5000,1.5,150,2.0,180
90.31,Llegada Demanda (Surtida),164,2454,2290,0,10000,2000,1500,5000,1.5,150,2.0,180
91.71,Llegada Demanda (Surtida),160,2290,2130,0,10000,2000,1500,5000,1.5,150,2.0,180
94.08,Llegada Demanda (Surtida),171,2130,1959,0,10000,2000,1500,5000,1.5,150,2.0,180
98.33,Llegada Demanda (Surtida),128,1959,1831,0,10000,2000,1500,5000,1.5,150,2.0,180
99.18,Llegada Demanda (Surtida),109,1831,1722,0,10000,2000,1500,5000,1.5,150,2.0,180
99.32,Llegada Demanda (Surtida),118,1722,1604,0,10000,2000,1500,5000,1.5,150,2.0,180
105.04,Llegada Demanda (Surtida),154,1604,1450,0,10000,2000,1500,5000,1.5,150,2.0,180
105.04,Emisión Pedido,5000,1450,1450,0,10000,2000,1500,5000,1.5,150,2.0,180
105.47,Llegada Demanda (Surtida),112,1450,1338,0,10000,2000,1500,5000,1.5,150,2.0,180
105.52,Llegada Demanda (Surtida),131,1338,1207,0,10000,2000,1500,5000,1.5,150,2.0,180
105.86,Llegada Demanda (Surtida),118,1207,1089,0,10000,2000,1500,5000,1.5,150,2.0,180
107.05,Llegada Demanda (Surtida),139,1089,950,0,10000,2000,1500,5000,1.5,150,2.0,180
107.36,Recepción Material,5000,950,5950,0,10000,2000,1500,5000,1.5,150,2.0,180
107.77,Llegada Demanda (Surtida),130,5950,5820,0,10000,2000,1500,5000,1.5,150,2.0,180
108.64,Llegada Demanda (Surtida),183,5820,5637,0,10000,2000,1500,5000,1.5,150,2.0,180
109.29,Llegada Demanda (Surtida),149,5637,5488,0,10000,2000,1500,5000,1.5,150,2.0,180
109.64,Llegada Demanda (Surtida),178,5488,5310,0,10000,2000,1500,5000,1.5,150,2.0,180
111.79,Llegada Demanda (Surtida),166,5310,5144,0,10000,2000,1500,5000,1.5,150,2.0,180
112.65,Llegada Demanda (Surtida),151,5144,4993,0,10000,2000,1500,5000,1.5,150,2.0,180
112.86,Llegada Demanda (Surtida),120,4993,4873,0,10000,2000,1500,5000,1.5,150,2.0,180
116.57,Llegada Demanda (Surtida),186,4873,4687,0,10000,2000,1500,5000,1.5,150,2.0,180
117.62,Llegada Demanda (Surtida),180,4687,4507,0,10000,2000,1500,5000,1.5,150,2.0,180
118.67,Llegada Demanda (Surtida),159,4507,4348,0,10000,2000,1500,5000,1.5,150,2.0,180
123.68,Llegada Demanda (Surtida),124,4348,4224,0,10000,2000,1500,5000,1.5,150,2.0,180
128.75,Llegada Demanda (Surtida),119,4224,4105,0,10000,2000,1500,5000,1.5,150,2.0,180
133.71,Llegada Demanda (Surtida),116,4105,3989,0,10000,2000,1500,5000,1.5,150,2.0,180
134.84,Llegada Demanda (Surtida),168,3989,3821,0,10000,2000,1500,5000,1.5,150,2.0,180
137.32,Llegada Demanda (Surtida),130,3821,3691,0,10000,2000,1500,5000,1.5,150,2.0,180
137.81,Llegada Demanda (Surtida),92,3691,3599,0,10000,2000,1500,5000,1.5,150,2.0,180
137.86,Llegada Demanda (Surtida),167,3599,3432,0,10000,2000,1500,5000,1.5,150,2.0,180
140.94,Llegada Demanda (Surtida),104,3432,3328,0,10000,2000,1500,5000,1.5,150,2.0,180
146.72,Llegada Demanda (Surtida),160,3328,3168,0,10000,2000,1500,5000,1.5,150,2.0,180
147.11,Llegada Demanda (Surtida),181,3168,2987,0,10000,2000,1500,5000,1.5,150,2.0,180
147.69,Llegada Demanda (Surtida),146,2987,2841,0,10000,2000,1500,5000,1.5,150,2.0,180
148.67,Llegada Demanda (Surtida),154,2841,2687,0,10000,2000,1500,5000,1.5,150,2.0,180
149.0,Llegada Demanda (Surtida),123,2687,2564,0,10000,2000,1500,5000,1.5,150,2.0,180
149.84,Llegada Demanda (Surtida),150,2564,2414,0,10000,2000,1500,5000,1.5,150,2.0,180
149.85,Llegada Demanda (Surtida),124,2414,2290,0,10000,2000,1500,5000,1.5,150,2.0,180
152.95,Llegada Demanda (Surtida),173,2290,2117,0,10000,2000,1500,5000,1.5,150,2.0,180
157.03,Llegada Demanda (Surtida),132,2117,1985,0,10000,2000,1500,5000,1.5,150,2.0,180
158.18,Llegada Demanda (Surtida),175,1985,1810,0,10000,2000,1500,5000,1.5,150,2.0,180
158.4,Llegada Demanda (Surtida),174,1810,1636,0,10000,2000,1500,5000,1.5,150,2.0,180
158.66,Llegada Demanda (Surtida),152,1636,1484,0,10000,2000,1500,5000,1.5,150,2.0,180
158.66,Emisión Pedido,5000,1484,1484,0,10000,2000,1500,5000,1.5,150,2.0,180
159.87,Llegada Demanda (Surtida),152,1484,1332,0,10000,2000,1500,5000,1.5,150,2.0,180
160.17,Recepción Material,5000,1332,6332,0,10000,2000,1500,5000,1.5,150,2.0,180
161.05,Llegada Demanda (Surtida),165,6332,6167,0,10000,2000,1500,5000,1.5,150,2.0,180
161.5,Llegada Demanda (Surtida),172,6167,5995,0,10000,2000,1500,5000,1.5,150,2.0,180
163.05,Llegada Demanda (Surtida),206,5995,5789,0,10000,2000,1500,5000,1.5,150,2.0,180
167.39,Llegada Demanda (Surtida),148,5789,5641,0,10000,2000,1500,5000,1.5,150,2.0,180
169.01,Llegada Demanda (Surtida),102,5641,5539,0,10000,2000,1500,5000,1.5,150,2.0,180
169.78,Llegada Demanda (Surtida),143,5539,5396,0,10000,2000,1500,5000,1.5,150,2.0,180
173.92,Llegada Demanda (Surtida),160,5396,5236,0,10000,2000,1500,5000,1.5,150,2.0,180
175.08,Llegada Demanda (Surtida),170,5236,5066,0,10000,2000,1500,5000,1.5,150,2.0,180
177.56,Llegada Demanda (Surtida),124,5066,4942,0,10000,2000,1500,5000,1.5,150,2.0,180
178.09,Llegada Demanda (Surtida),119,4942,4823,0,10000,2000,1500,5000,1.5,150,2.0,180
