Dia_Simulacion,Tipo_Evento,Cantidad,Inventario_Previo,Inventario_Posterior,Venta_Perdida,Param_CAPACIDAD_BODEGA,Param_STOCK_INICIAL,Param_PUNTO_REORDEN,Param_CANTIDAD_REABASTECIMIENTO,Param_TIEMPO_ENTRE_LLEGADAS,Param_TAMANO_PEDIDO,Param_LEAD_TIME_PROVEEDOR,Param_TIEMPO_SIMULACION
74.54,Llegada Demanda (Surtida),49,3679,3630,0,10000,2000,1500,5000,1.5,150,2.0,180
76.26,Llegada Demanda (Surtida),134,3630,3496,0,10000,2000,1500,5000,1.5,150,2.0,180
78.15,Llegada Demanda (Surtida),160,3496,3336,0,10000,2000,1500,5000,1.5,150,2.0,180
79.35,Llegada Demanda (Surtida),137,3336,3199,0,10000,2000,1500,5000,1.5,150,2.0,180
83.17,Llegada Demanda (Surtida),146,3199,3053,0,10000,2000,1500,5000,1.5,150,2.0,180
83.46,Llegada Demanda (Surtida),224,3053,2829,0,10000,2000,1500,5000,1.5,150,2.0,180
84.43,Llegada Demanda (Surtida),157,2829,2672,0,10000,2000,1500,5000,1.5,150,2.0,180
85.22,Llegada Demanda (Surtida),162,2672,2510,0,10000,2000,1500,5000,1.5,150,2.0,180
87.53,Llegada Demanda (Surtida),134,2510,2376,0,10000,2000,1500,5000,1.5,150,2.0,180
89.18,Llegada Demanda (Surtida),179,2376,2197,0,10000,2000,1500,5000,1.5,150,2.0,180
89.56,Llegada Demanda (Surtida),194,2197,2003,0,10000,2000,1500,5000,1.5,150,2.0,180
91.82,Llegada Demanda (Surtida),114,2003,1889,0,10000,2000,1500,5000,1.5,150,2.0,180
94.57,Llegada Demanda (Surtida),151,1889,1738,0,10000,2000,1500,5000,1.5,150,2.0,180
94.77,Llegada Demanda (Surtida),138,1738,1600,0,10000,2000,1500,5000,1.5,150,2.0,180
94.8,Llegada Demanda (Surtida),132,1600,1468,0,10000,2000,1500,5000,1.5,150,2.0,180
94.8,Emisión Pedido,5000,1468,1468,0,10000,2000,1500,5000,1.5,150,2.0,180
95.25,Llegada Demanda (Surtida),111,1468,1357,0,10000,2000,1500,5000,1.5,150,2.0,180
95.29,Llegada Demanda (Surtida),159,1357,1198,0,10000,2000,1500,5000,1.5,150,2.0,180
95.36,Llegada Demanda (Surtida),176,1198,1022,0,10000,2000,1500,5000,1.5,150,2.0,180
96.5,Recepción Material,5000,1022,6022,0,10000,2000,1500,5000,1.5,150,2.0,180
98.78,Llegada Demanda (Surtida),85,6022,5937,0,10000,2000,1500,5000,1.5,150,2.0,180
98.89,Llegada Demanda (Surtida),121,5937,5816,0,10000,2000,1500,5000,1.5,150,2.0,180
101.25,Llegada Demanda (Surtida),155,5816,5661,0,10000,2000,1500,5000,1.5,150,2.0,180
102.96,Llegada Demanda (Surtida),182,5661,5479,0,10000,2000,1500,5000,1.5,150,2.0,180
103.64,Llegada Demanda (Surtida),154,5479,5325,0,10000,2000,1500,5000,1.5,150,2.0,180
106.41,Llegada Demanda (Surtida),190,5325,5135,0,10000,2000,1500,5000,1.5,150,2.0,180
107.77,Llegada Demanda (Surtida),168,5135,4967,0,10000,2000,1500,5000,1.5,150,2.0,180
113.02,Llegada Demanda (Surtida),149,4967,4818,0,10000,2000,1500,5000,1.5,150,2.0,180
116.06,Llegada Demanda (Surtida),151,4818,4667,0,10000,2000,1500,5000,1.5,150,2.0,180
117.02,Llegada Demanda (Surtida),134,4667,4533,0,10000,2000,1500,5000,1.5,150,2.0,180
117.89,Llegada Demanda (Surtida),185,4533,4348,0,10000,2000,1500,5000,1.5,150,2.0,180
118.12,Llegada Demanda (Surtida),158,4348,4190,0,10000,2000,1500,5000,1.5,150,2.0,180
118.35,Llegada Demanda (Surtida),122,4190,4068,0,10000,2000,1500,5000,1.5,150,2.0,180
118.93,Llegada Demanda (Surtida),192,4068,3876,0,10000,2000,1500,5000,1.5,150,2.0,180
120.6,Llegada Demanda (Surtida),136,3876,3740,0,10000,2000,1500,5000,1.5,150,2.0,180
121.55,Llegada Demanda (Surtida),200,3740,3540,0,10000,2000,1500,5000,1.5,150,2.0,180
122.77,Llegada Demanda (Surtida),100,3540,3440,0,10000,2000,1500,5000,1.5,150,2.0,180
122.86,Llegada Demanda (Surtida),171,3440,3269,0,10000,2000,1500,5000,1.5,150,2.0,180
123.9,Llegada Demanda (Surtida),141,3269,3128,0,10000,2000,1500,5000,1.5,150,2.0,180
126.89,Llegada Demanda (Surtida),158,3128,2970,0,10000,2000,1500,5000,1.5,150,2.0,180
127.54,Llegada Demanda (Surtida),163,2970,2807,0,10000,2000,1500,5000,1.5,150,2.0,180
128.69,Llegada Demanda (Surtida),169,2807,2638,0,10000,2000,1500,5000,1.5,150,2.0,180
129.71,Llegada Demanda (Surtida),133,2638,2505,0,10000,2000,1500,5000,1.5,150,2.0,180
132.57,Llegada Demanda (Surtida),207,2505,2298,0,10000,2000,1500,5000,1.5,150,2.0,180
133.88,Llegada Demanda (Surtida),184,2298,2114,0,10000,2000,1500,5000,1.5,150,2.0,180
135.58,Llegada Demanda (Surtida),135,2114,1979,0,10000,2000,1500,5000,1.5,150,2.0,180
136.09,Llegada Demanda (Surtida),136,1979,1843,0,10000,2000,1500,5000,1.5,150,2.0,180
136.66,Llegada Demanda (Surtida),110,1843,1733,0,10000,2000,1500,5000,1.5,150,2.0,180
138.12,Llegada Demanda (Surtida),193,1733,1540,0,10000,2000,1500,5000,1.5,150,2.0,180
140.59,Llegada Demanda (Surtida),158,1540,1382,0,10000,2000,1500,5000,1.5,150,2.0,180
140.59,Emisión Pedido,5000,1382,1382,0,10000,2000,1500,5000,1.5,150,2.0,180
142.14,Recepción Material,5000,1382,6382,0,10000,2000,1500,5000,1.5,150,2.0,180
142.51,Llegada Demanda (Surtida),137,6382,6245,0,10000,2000,1500,5000,1.5,150,2.0,180
147.75,Llegada Demanda (Surtida),134,6245,6111,0,10000,2000,1500,5000,1.5,150,2.0,180
151.57,Llegada Demanda (Surtida),172,6111,5939,0,10000,2000,1500,5000,1.5,150,2.0,180
152.24,Llegada Demanda (Surtida),84,5939,5855,0,10000,2000,1500,5000,1.5,150,2.0,180
152.31,Llegada Demanda (Surtida),136,5855,5719,0,10000,2000,1500,5000,1.5,150,2.0,180
152.35,Llegada Demanda (Surtida),147,5719,5572,0,10000,2000,1500,5000,1.5,150,2.0,180
152.37,Llegada Demanda (Surtida),165,5572,5407,0,10000,2000,1500,5000,1.5,150,2.0,180
152.93,Llegada Demanda (Surtida),147,5407,5260,0,10000,2000,1500,5000,1.5,150,2.0,180
154.68,Llegada Demanda (Surtida),169,5260,5091,0,10000,2000,1500,5000,1.5,150,2.0,180
159.11,Llegada Demanda (Surtida),109,5091,4982,0,10000,2000,1500,5000,1.5,150,2.0,180
160.18,Llegada Demanda (Surtida),124,4982,4858,0,10000,2000,1500,5000,1.5,150,2.0,180
160.36,Llegada Demanda (Surtida),197,4858,4661,0,10000,2000,1500,5000,1.5,150,2.0,180
161.56,Llegada Demanda (Surtida),231,4661,4430,0,10000,2000,1500,5000,1.5,150,2.0,180
161.66,Llegada Demanda (Surtida),129,4430,4301,0,10000,2000,1500,5000,1.5,150,2.0,180
161.66,Llegada Demanda (Surtida),146,4301,4155,0,10000,2000,1500,5000,1.5,150,2.0,180
161.89,Llegada Demanda (Surtida),146,4155,4009,0,10000,2000,1500,5000,1.5,150,2.0,180
162.22,Llegada Demanda (Surtida),152,4009,3857,0,10000,2000,1500,5000,1.5,150,2.0,180
162.27,Llegada Demanda (Surtida),182,3857,3675,0,10000,2000,1500,5000,1.5,150,2.0,180
163.51,Llegada Demanda (Surtida),126,3675,3549,0,10000,2000,1500,5000,1.5,150,2.0,180
166.5,Llegada Demanda (Surtida),176,3549,3373,0,10000,2000,1500,5000,1.5,150,2.0,180
166.76,Llegada Demanda (Surtida),160,3373,3213,0,10000,2000,1500,5000,1.5,150,2.0,180
172.47,Llegada Demanda (Surtida),101,3213,3112,0,10000,2000,1500,5000,1.5,150,2.0,180
173.04,Llegada Demanda (Surtida),124,3112,2988,0,10000,2000,1500,5000,1.5,150,2.0,180
173.07,Llegada Demanda (Surtida),132,2988,2856,0,10000,2000,1500,5000,1.5,150,2.0,180
173.57,Llegada Demanda (Surtida),180,2856,2676,0,10000,2000,1500,5000,1.5,150,2.0,180
177.31,Llegada Demanda (Surtida),128,2676,2548,0,10000,2000,1500,5000,1.5,150,2.0,180
178.48,Llegada Demanda (Surtida),165,2548,2383,0,10000,2000,1500,5000,1.5,150,2.0,180
179.66,Llegada Demanda (Surtida),107,2383,2276,0,10000,2000,1500,5000,1.5,150,2.0,180
