ID_Simulacion,Dia_Simulacion,Tipo_Evento,Cantidad,Inventario_Previo,Inventario_Posterior,Venta_Perdida,Param_CAPACIDAD_BODEGA,Param_STOCK_INICIAL,Param_PUNTO_REORDEN,Param_CANTIDAD_REABASTECIMIENTO,Param_TIEMPO_ENTRE_LLEGADAS,Param_TAMANO_PEDIDO,Param_LEAD_TIME_PROVEEDOR,Param_TIEMPO_SIMULACION
20260515_200851,30.92,Llegada Demanda (Surtida),117,4852,4735,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,31.25,Llegada Demanda (Surtida),190,4735,4545,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,31.78,Llegada Demanda (Surtida),117,4545,4428,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,32.79,Llegada Demanda (Surtida),149,4428,4279,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,33.16,Llegada Demanda (Surtida),161,4279,4118,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,34.52,Llegada Demanda (Surtida),136,4118,3982,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,38.05,Llegada Demanda (Surtida),138,3982,3844,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,40.97,Llegada Demanda (Surtida),184,3844,3660,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,41.03,Llegada Demanda (Surtida),193,3660,3467,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,42.54,Llegada Demanda (Surtida),140,3467,3327,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,43.08,Llegada Demanda (Surtida),149,3327,3178,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,43.88,Llegada Demanda (Surtida),153,3178,3025,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,45.12,Llegada Demanda (Surtida),159,3025,2866,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,46.2,Llegada Demanda (Surtida),183,2866,2683,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,47.64,Llegada Demanda (Surtida),145,2683,2538,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,51.06,Llegada Demanda (Surtida),130,2538,2408,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,55.59,Llegada Demanda (Surtida),127,2408,2281,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,57.65,Llegada Demanda (Surtida),180,2281,2101,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,58.19,Llegada Demanda (Surtida),177,2101,1924,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,58.91,Llegada Demanda (Surtida),142,1924,1782,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,60.66,Llegada Demanda (Surtida),121,1782,1661,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,62.05,Llegada Demanda (Surtida),169,1661,1492,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,62.05,Emisión Pedido,5000,1492,1492,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,62.86,Llegada Demanda (Surtida),102,1492,1390,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,63.77,Recepción Material,5000,1390,6390,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,64.42,Llegada Demanda (Surtida),174,6390,6216,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,65.72,Llegada Demanda (Surtida),108,6216,6108,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,65.99,Llegada Demanda (Surtida),150,6108,5958,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,66.12,Llegada Demanda (Surtida),186,5958,5772,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,68.94,Llegada Demanda (Surtida),151,5772,5621,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,69.6,Llegada Demanda (Surtida),153,5621,5468,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,71.36,Llegada Demanda (Surtida),151,5468,5317,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,72.74,Llegada Demanda (Surtida),140,5317,5177,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,74.19,Llegada Demanda (Surtida),159,5177,5018,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,74.32,Llegada Demanda (Surtida),143,5018,4875,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,75.63,Llegada Demanda (Surtida),146,4875,4729,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,75.81,Llegada Demanda (Surtida),117,4729,4612,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,77.05,Llegada Demanda (Surtida),143,4612,4469,0,10000,2000,1500,5000,1.5,150,2.0,180
