Dia_Simulacion,Tipo_Evento,Cantidad,Inventario_Previo,Inventario_Posterior,Venta_Perdida,Param_CAPACIDAD_BODEGA,Param_STOCK_INICIAL,Param_PUNTO_REORDEN,Param_CANTIDAD_REABASTECIMIENTO,Param_TIEMPO_ENTRE_LLEGADAS,Param_TAMANO_PEDIDO,Param_LEAD_TIME_PROVEEDOR,Param_TIEMPO_SIMULACION
1.7,Llegada Demanda (Surtida),150,2000,1850,0,10000,2000,1200,5000,1.2,120,1.9,150
2.05,Llegada Demanda (Surtida),138,1850,1712,0,10000,2000,1200,5000,1.2,120,1.9,150
2.49,Llegada Demanda (Surtida),136,1712,1576,0,10000,2000,1200,5000,1.2,120,1.9,150
2.51,Llegada Demanda (Surtida),138,1576,1438,0,10000,2000,1200,5000,1.2,120,1.9,150
4.63,Llegada Demanda (Surtida),108,1438,1330,0,10000,2000,1200,5000,1.2,120,1.9,150
8.09,Llegada Demanda (Surtida),122,1330,1208,0,10000,2000,1200,5000,1.2,120,1.9,150
8.33,Llegada Demanda (Surtida),141,1208,1067,0,10000,2000,1200,5000,1.2,120,1.9,150
8.33,Emisión Pedido,5000,1067,1067,0,10000,2000,1200,5000,1.2,120,1.9,150
10.2,Recepción Material,5000,1067,6067,0,10000,2000,1200,5000,1.2,120,1.9,150
10.44,Llegada Demanda (Surtida),152,6067,5915,0,10000,2000,1200,5000,1.2,120,1.9,150
10.56,Llegada Demanda (Surtida),76,5915,5839,0,10000,2000,1200,5000,1.2,120,1.9,150
11.31,Llegada Demanda (Surtida),101,5839,5738,0,10000,2000,1200,5000,1.2,120,1.9,150
11.71,Llegada Demanda (Surtida),123,5738,5615,0,10000,2000,1200,5000,1.2,120,1.9,150
11.76,Llegada Demanda (Surtida),133,5615,5482,0,10000,2000,1200,5000,1.2,120,1.9,150
11.87,Llegada Demanda (Surtida),79,5482,5403,0,10000,2000,1200,5000,1.2,120,1.9,150
14.06,Llegada Demanda (Surtida),99,5403,5304,0,10000,2000,1200,5000,1.2,120,1.9,150
14.64,Llegada Demanda (Surtida),114,5304,5190,0,10000,2000,1200,5000,1.2,120,1.9,150
15.42,Llegada Demanda (Surtida),106,5190,5084,0,10000,2000,1200,5000,1.2,120,1.9,150
18.54,Llegada Demanda (Surtida),144,5084,4940,0,10000,2000,1200,5000,1.2,120,1.9,150
18.56,Llegada Demanda (Surtida),75,4940,4865,0,10000,2000,1200,5000,1.2,120,1.9,150
23.53,Llegada Demanda (Surtida),164,4865,4701,0,10000,2000,1200,5000,1.2,120,1.9,150
23.9,Llegada Demanda (Surtida),155,4701,4546,0,10000,2000,1200,5000,1.2,120,1.9,150
26.46,Llegada Demanda (Surtida),82,4546,4464,0,10000,2000,1200,5000,1.2,120,1.9,150
27.77,Llegada Demanda (Surtida),129,4464,4335,0,10000,2000,1200,5000,1.2,120,1.9,150
28.72,Llegada Demanda (Surtida),143,4335,4192,0,10000,2000,1200,5000,1.2,120,1.9,150
28.75,Llegada Demanda (Surtida),72,4192,4120,0,10000,2000,1200,5000,1.2,120,1.9,150
29.37,Llegada Demanda (Surtida),153,4120,3967,0,10000,2000,1200,5000,1.2,120,1.9,150
30.06,Llegada Demanda (Surtida),86,3967,3881,0,10000,2000,1200,5000,1.2,120,1.9,150
33.69,Llegada Demanda (Surtida),104,3881,3777,0,10000,2000,1200,5000,1.2,120,1.9,150
34.34,Llegada Demanda (Surtida),100,3777,3677,0,10000,2000,1200,5000,1.2,120,1.9,150
41.57,Llegada Demanda (Surtida),145,3677,3532,0,10000,2000,1200,5000,1.2,120,1.9,150
45.13,Llegada Demanda (Surtida),121,3532,3411,0,10000,2000,1200,5000,1.2,120,1.9,150
45.37,Llegada Demanda (Surtida),87,3411,3324,0,10000,2000,1200,5000,1.2,120,1.9,150
46.86,Llegada Demanda (Surtida),138,3324,3186,0,10000,2000,1200,5000,1.2,120,1.9,150
47.32,Llegada Demanda (Surtida),158,3186,3028,0,10000,2000,1200,5000,1.2,120,1.9,150
47.38,Llegada Demanda (Surtida),140,3028,2888,0,10000,2000,1200,5000,1.2,120,1.9,150
48.64,Llegada Demanda (Surtida),161,2888,2727,0,10000,2000,1200,5000,1.2,120,1.9,150
48.81,Llegada Demanda (Surtida),141,2727,2586,0,10000,2000,1200,5000,1.2,120,1.9,150
49.07,Llegada Demanda (Surtida),123,2586,2463,0,10000,2000,1200,5000,1.2,120,1.9,150
50.17,Llegada Demanda (Surtida),222,2463,2241,0,10000,2000,1200,5000,1.2,120,1.9,150
51.1,Llegada Demanda (Surtida),155,2241,2086,0,10000,2000,1200,5000,1.2,120,1.9,150
51.33,Llegada Demanda (Surtida),92,2086,1994,0,10000,2000,1200,5000,1.2,120,1.9,150
52.09,Llegada Demanda (Surtida),140,1994,1854,0,10000,2000,1200,5000,1.2,120,1.9,150
52.65,Llegada Demanda (Surtida),148,1854,1706,0,10000,2000,1200,5000,1.2,120,1.9,150
54.3,Llegada Demanda (Surtida),108,1706,1598,0,10000,2000,1200,5000,1.2,120,1.9,150
54.91,Llegada Demanda (Surtida),114,1598,1484,0,10000,2000,1200,5000,1.2,120,1.9,150
55.63,Llegada Demanda (Surtida),111,1484,1373,0,10000,2000,1200,5000,1.2,120,1.9,150
57.66,Llegada Demanda (Surtida),101,1373,1272,0,10000,2000,1200,5000,1.2,120,1.9,150
62.17,Llegada Demanda (Surtida),138,1272,1134,0,10000,2000,1200,5000,1.2,120,1.9,150
62.17,Emisión Pedido,5000,1134,1134,0,10000,2000,1200,5000,1.2,120,1.9,150
62.66,Llegada Demanda (Surtida),126,1134,1008,0,10000,2000,1200,5000,1.2,120,1.9,150
63.06,Llegada Demanda (Surtida),94,1008,914,0,10000,2000,1200,5000,1.2,120,1.9,150
64.43,Recepción Material,5000,914,5914,0,10000,2000,1200,5000,1.2,120,1.9,150
67.55,Llegada Demanda (Surtida),117,5914,5797,0,10000,2000,1200,5000,1.2,120,1.9,150
