Dia_Simulacion,Tipo_Evento,Cantidad,Inventario_Previo,Inventario_Posterior,Venta_Perdida,Param_CAPACIDAD_BODEGA,Param_STOCK_INICIAL,Param_PUNTO_REORDEN,Param_CANTIDAD_REABASTECIMIENTO,Param_TIEMPO_ENTRE_LLEGADAS,Param_TAMANO_PEDIDO,Param_LEAD_TIME_PROVEEDOR,Param_TIEMPO_SIMULACION
1.22,Llegada Demanda (Surtida),159,2000,1841,0,10000,2000,1500,5000,1.5,150,2.0,180
2.85,Llegada Demanda (Surtida),140,1841,1701,0,10000,2000,1500,5000,1.5,150,2.0,180
3.78,Llegada Demanda (Surtida),104,1701,1597,0,10000,2000,1500,5000,1.5,150,2.0,180
4.71,Llegada Demanda (Surtida),97,1597,1500,0,10000,2000,1500,5000,1.5,150,2.0,180
4.71,Emisión Pedido,5000,1500,1500,0,10000,2000,1500,5000,1.5,150,2.0,180
5.83,Llegada Demanda (Surtida),195,1500,1305,0,10000,2000,1500,5000,1.5,150,2.0,180
5.92,Llegada Demanda (Surtida),128,1305,1177,0,10000,2000,1500,5000,1.5,150,2.0,180
6.29,Llegada Demanda (Surtida),133,1177,1044,0,10000,2000,1500,5000,1.5,150,2.0,180
6.43,Recepción Material,5000,1044,6044,0,10000,2000,1500,5000,1.5,150,2.0,180
8.1,Llegada Demanda (Surtida),121,6044,5923,0,10000,2000,1500,5000,1.5,150,2.0,180
8.92,Llegada Demanda (Surtida),141,5923,5782,0,10000,2000,1500,5000,1.5,150,2.0,180
10.03,Llegada Demanda (Surtida),142,5782,5640,0,10000,2000,1500,5000,1.5,150,2.0,180
12.22,Llegada Demanda (Surtida),188,5640,5452,0,10000,2000,1500,5000,1.5,150,2.0,180
12.31,Llegada Demanda (Surtida),207,5452,5245,0,10000,2000,1500,5000,1.5,150,2.0,180
13.55,Llegada Demanda (Surtida),183,5245,5062,0,10000,2000,1500,5000,1.5,150,2.0,180
14.34,Llegada Demanda (Surtida),182,5062,4880,0,10000,2000,1500,5000,1.5,150,2.0,180
14.62,Llegada Demanda (Surtida),244,4880,4636,0,10000,2000,1500,5000,1.5,150,2.0,180
15.02,Llegada Demanda (Surtida),143,4636,4493,0,10000,2000,1500,5000,1.5,150,2.0,180
15.83,Llegada Demanda (Surtida),136,4493,4357,0,10000,2000,1500,5000,1.5,150,2.0,180
17.02,Llegada Demanda (Surtida),151,4357,4206,0,10000,2000,1500,5000,1.5,150,2.0,180
17.52,Llegada Demanda (Surtida),183,4206,4023,0,10000,2000,1500,5000,1.5,150,2.0,180
18.37,Llegada Demanda (Surtida),183,4023,3840,0,10000,2000,1500,5000,1.5,150,2.0,180
19.57,Llegada Demanda (Surtida),216,3840,3624,0,10000,2000,1500,5000,1.5,150,2.0,180
19.7,Llegada Demanda (Surtida),160,3624,3464,0,10000,2000,1500,5000,1.5,150,2.0,180
19.89,Llegada Demanda (Surtida),121,3464,3343,0,10000,2000,1500,5000,1.5,150,2.0,180
22.08,Llegada Demanda (Surtida),138,3343,3205,0,10000,2000,1500,5000,1.5,150,2.0,180
22.59,Llegada Demanda (Surtida),174,3205,3031,0,10000,2000,1500,5000,1.5,150,2.0,180
22.64,Llegada Demanda (Surtida),209,3031,2822,0,10000,2000,1500,5000,1.5,150,2.0,180
23.22,Llegada Demanda (Surtida),167,2822,2655,0,10000,2000,1500,5000,1.5,150,2.0,180
24.2,Llegada Demanda (Surtida),234,2655,2421,0,10000,2000,1500,5000,1.5,150,2.0,180
26.69,Llegada Demanda (Surtida),155,2421,2266,0,10000,2000,1500,5000,1.5,150,2.0,180
28.64,Llegada Demanda (Surtida),142,2266,2124,0,10000,2000,1500,5000,1.5,150,2.0,180
29.68,Llegada Demanda (Surtida),107,2124,2017,0,10000,2000,1500,5000,1.5,150,2.0,180
31.39,Llegada Demanda (Surtida),164,2017,1853,0,10000,2000,1500,5000,1.5,150,2.0,180
33.61,Llegada Demanda (Surtida),139,1853,1714,0,10000,2000,1500,5000,1.5,150,2.0,180
33.84,Llegada Demanda (Surtida),149,1714,1565,0,10000,2000,1500,5000,1.5,150,2.0,180
34.7,Llegada Demanda (Surtida),106,1565,1459,0,10000,2000,1500,5000,1.5,150,2.0,180
34.7,Emisión Pedido,5000,1459,1459,0,10000,2000,1500,5000,1.5,150,2.0,180
35.39,Llegada Demanda (Surtida),135,1459,1324,0,10000,2000,1500,5000,1.5,150,2.0,180
36.34,Llegada Demanda (Surtida),143,1324,1181,0,10000,2000,1500,5000,1.5,150,2.0,180
36.54,Recepción Material,5000,1181,6181,0,10000,2000,1500,5000,1.5,150,2.0,180
37.61,Llegada Demanda (Surtida),187,6181,5994,0,10000,2000,1500,5000,1.5,150,2.0,180
40.55,Llegada Demanda (Surtida),143,5994,5851,0,10000,2000,1500,5000,1.5,150,2.0,180
43.41,Llegada Demanda (Surtida),184,5851,5667,0,10000,2000,1500,5000,1.5,150,2.0,180
43.77,Llegada Demanda (Surtida),117,5667,5550,0,10000,2000,1500,5000,1.5,150,2.0,180
44.72,Llegada Demanda (Surtida),132,5550,5418,0,10000,2000,1500,5000,1.5,150,2.0,180
44.87,Llegada Demanda (Surtida),176,5418,5242,0,10000,2000,1500,5000,1.5,150,2.0,180
45.46,Llegada Demanda (Surtida),181,5242,5061,0,10000,2000,1500,5000,1.5,150,2.0,180
46.79,Llegada Demanda (Surtida),101,5061,4960,0,10000,2000,1500,5000,1.5,150,2.0,180
47.6,Llegada Demanda (Surtida),141,4960,4819,0,10000,2000,1500,5000,1.5,150,2.0,180
51.15,Llegada Demanda (Surtida),156,4819,4663,0,10000,2000,1500,5000,1.5,150,2.0,180
51.59,Llegada Demanda (Surtida),119,4663,4544,0,10000,2000,1500,5000,1.5,150,2.0,180
58.79,Llegada Demanda (Surtida),117,4544,4427,0,10000,2000,1500,5000,1.5,150,2.0,180
59.59,Llegada Demanda (Surtida),198,4427,4229,0,10000,2000,1500,5000,1.5,150,2.0,180
60.13,Llegada Demanda (Surtida),150,4229,4079,0,10000,2000,1500,5000,1.5,150,2.0,180
63.04,Llegada Demanda (Surtida),147,4079,3932,0,10000,2000,1500,5000,1.5,150,2.0,180
63.07,Llegada Demanda (Surtida),136,3932,3796,0,10000,2000,1500,5000,1.5,150,2.0,180
70.85,Llegada Demanda (Surtida),131,3796,3665,0,10000,2000,1500,5000,1.5,150,2.0,180
71.84,Llegada Demanda (Surtida),126,3665,3539,0,10000,2000,1500,5000,1.5,150,2.0,180
72.06,Llegada Demanda (Surtida),166,3539,3373,0,10000,2000,1500,5000,1.5,150,2.0,180
74.16,Llegada Demanda (Surtida),174,3373,3199,0,10000,2000,1500,5000,1.5,150,2.0,180
74.4,Llegada Demanda (Surtida),144,3199,3055,0,10000,2000,1500,5000,1.5,150,2.0,180
74.78,Llegada Demanda (Surtida),115,3055,2940,0,10000,2000,1500,5000,1.5,150,2.0,180
74.9,Llegada Demanda (Surtida),192,2940,2748,0,10000,2000,1500,5000,1.5,150,2.0,180
74.92,Llegada Demanda (Surtida),130,2748,2618,0,10000,2000,1500,5000,1.5,150,2.0,180
79.51,Llegada Demanda (Surtida),160,2618,2458,0,10000,2000,1500,5000,1.5,150,2.0,180
80.77,Llegada Demanda (Surtida),167,2458,2291,0,10000,2000,1500,5000,1.5,150,2.0,180
81.38,Llegada Demanda (Surtida),113,2291,2178,0,10000,2000,1500,5000,1.5,150,2.0,180
81.81,Llegada Demanda (Surtida),84,2178,2094,0,10000,2000,1500,5000,1.5,150,2.0,180
84.81,Llegada Demanda (Surtida),146,2094,1948,0,10000,2000,1500,5000,1.5,150,2.0,180
86.9,Llegada Demanda (Surtida),131,1948,1817,0,10000,2000,1500,5000,1.5,150,2.0,180
88.08,Llegada Demanda (Surtida),184,1817,1633,0,10000,2000,1500,5000,1.5,150,2.0,180
89.24,Llegada Demanda (Surtida),131,1633,1502,0,10000,2000,1500,5000,1.5,150,2.0,180
89.55,Llegada Demanda (Surtida),149,1502,1353,0,10000,2000,1500,5000,1.5,150,2.0,180
89.55,Emisión Pedido,5000,1353,1353,0,10000,2000,1500,5000,1.5,150,2.0,180
91.17,Llegada Demanda (Surtida),99,1353,1254,0,10000,2000,1500,5000,1.5,150,2.0,180
91.84,Recepción Material,5000,1254,6254,0,10000,2000,1500,5000,1.5,150,2.0,180
91.99,Llegada Demanda (Surtida),194,6254,6060,0,10000,2000,1500,5000,1.5,150,2.0,180
92.38,Llegada Demanda (Surtida),119,6060,5941,0,10000,2000,1500,5000,1.5,150,2.0,180
92.55,Llegada Demanda (Surtida),166,5941,5775,0,10000,2000,1500,5000,1.5,150,2.0,180
94.07,Llegada Demanda (Surtida),65,5775,5710,0,10000,2000,1500,5000,1.5,150,2.0,180
94.18,Llegada Demanda (Surtida),151,5710,5559,0,10000,2000,1500,5000,1.5,150,2.0,180
95.73,Llegada Demanda (Surtida),117,5559,5442,0,10000,2000,1500,5000,1.5,150,2.0,180
96.45,Llegada Demanda (Surtida),126,5442,5316,0,10000,2000,1500,5000,1.5,150,2.0,180
99.93,Llegada Demanda (Surtida),124,5316,5192,0,10000,2000,1500,5000,1.5,150,2.0,180
100.42,Llegada Demanda (Surtida),155,5192,5037,0,10000,2000,1500,5000,1.5,150,2.0,180
101.2,Llegada Demanda (Surtida),163,5037,4874,0,10000,2000,1500,5000,1.5,150,2.0,180
103.42,Llegada Demanda (Surtida),167,4874,4707,0,10000,2000,1500,5000,1.5,150,2.0,180
104.67,Llegada Demanda (Surtida),162,4707,4545,0,10000,2000,1500,5000,1.5,150,2.0,180
106.96,Llegada Demanda (Surtida),115,4545,4430,0,10000,2000,1500,5000,1.5,150,2.0,180
109.74,Llegada Demanda (Surtida),175,4430,4255,0,10000,2000,1500,5000,1.5,150,2.0,180
111.87,Llegada Demanda (Surtida),179,4255,4076,0,10000,2000,1500,5000,1.5,150,2.0,180
114.21,Llegada Demanda (Surtida),94,4076,3982,0,10000,2000,1500,5000,1.5,150,2.0,180
114.26,Llegada Demanda (Surtida),216,3982,3766,0,10000,2000,1500,5000,1.5,150,2.0,180
114.45,Llegada Demanda (Surtida),167,3766,3599,0,10000,2000,1500,5000,1.5,150,2.0,180
115.72,Llegada Demanda (Surtida),136,3599,3463,0,10000,2000,1500,5000,1.5,150,2.0,180
116.25,Llegada Demanda (Surtida),129,3463,3334,0,10000,2000,1500,5000,1.5,150,2.0,180
117.39,Llegada Demanda (Surtida),109,3334,3225,0,10000,2000,1500,5000,1.5,150,2.0,180
122.7,Llegada Demanda (Surtida),162,3225,3063,0,10000,2000,1500,5000,1.5,150,2.0,180
123.41,Llegada Demanda (Surtida),130,3063,2933,0,10000,2000,1500,5000,1.5,150,2.0,180
124.13,Llegada Demanda (Surtida),168,2933,2765,0,10000,2000,1500,5000,1.5,150,2.0,180
